iter	Passed	Remaining
0	1	291
1	2	261
2	3	253
3	5	247
4	6	244
5	7	244
6	8	241
7	9	239
8	11	237
9	12	236
10	13	235
11	14	233
12	16	232
13	17	230
14	18	229
15	19	227
16	21	226
17	22	224
18	23	223
19	24	221
20	25	220
21	27	219
22	28	218
23	29	216
24	30	215
25	31	214
26	33	213
27	34	212
28	35	210
29	37	209
30	38	208
31	39	207
32	40	206
33	42	205
34	43	204
35	44	203
36	45	202
37	47	201
38	48	200
39	49	199
40	51	198
41	52	196
42	53	195
43	55	195
44	56	194
45	57	193
46	59	192
47	60	191
48	61	190
49	63	190
50	64	189
51	66	188
52	67	187
53	68	185
54	70	184
55	71	183
56	72	182
57	73	180
58	75	179
59	76	178
60	77	177
61	79	176
62	80	175
63	81	174
64	83	173
65	84	172
66	86	171
67	87	170
68	89	169
69	90	168
70	92	167
71	93	166
72	95	165
73	96	164
74	97	163
75	99	161
76	100	160
77	101	159
78	103	157
79	104	156
80	105	155
81	107	154
82	108	152
83	109	151
84	111	150
85	112	149
86	113	147
87	115	146
88	116	145
89	118	144
90	119	143
91	120	141
92	122	140
93	123	139
94	125	138
95	126	137
96	127	135
97	129	134
98	130	133
99	132	132
100	133	130
101	134	129
102	135	127
103	137	126
104	138	125
105	139	123
106	141	122
107	142	121
108	143	119
109	145	118
110	146	117
111	147	116
112	149	114
113	150	113
114	151	112
115	152	110
116	154	109
117	155	107
118	156	106
119	158	105
120	159	104
121	160	102
122	162	101
123	163	100
124	165	99
125	166	97
126	167	96
127	169	95
128	170	93
129	171	92
130	172	91
131	174	89
132	175	88
133	176	87
134	178	85
135	179	84
136	180	83
137	182	81
138	183	80
139	185	79
140	186	78
141	188	76
142	189	75
143	190	74
144	191	72
145	192	71
146	193	69
147	194	68
148	195	67
149	197	65
150	198	64
151	199	62
152	200	61
153	201	60
154	202	58
155	203	57
156	204	56
157	206	54
158	207	53
159	208	52
160	209	50
161	210	49
162	211	48
163	212	46
164	214	45
165	215	44
166	216	42
167	217	41
168	218	40
169	219	38
170	221	37
171	222	36
172	223	34
173	224	33
174	225	32
175	226	30
176	227	29
177	228	28
178	230	26
179	231	25
180	232	24
181	233	23
182	234	21
183	235	20
184	236	19
185	237	17
186	239	16
187	240	15
188	241	14
189	242	12
190	243	11
191	244	10
192	245	8
193	246	7
194	248	6
195	249	5
196	250	3
197	251	2
198	252	1
199	253	0
